Home_Team,Away_Team,Home_win,Draw,Away_win
Daejeon Citizen,Pohang Steelers,3.68,3.61,2.03
Suwon,Suwon Bluewings,2.86,3.22,2.64
Gwangju,FC Seoul,2.80,3.40,2.37
Gangwon,Ulsan,3.90,3.60,1.85
Jeonbuk Motors,Suwon Bluewings,1.95,3.40,3.75
Daegu,Jeju United,2.90,3.20,2.15
Incheon United,Daejeon Citizen,2.25,3.00,3.00
Suwon,Pohang Steelers,3.10,3.20,2.05
Daejeon Citizen,Gangwon,2.63,3.10,2.63
Pohang Steelers,Daegu,1.75,3.50,4.33
Jeju United,Suwon,1.75,3.60,4.50
FC Seoul,Incheon United,2.25,3.34,3.24
Suwon Bluewings,Gwangju,2.29,3.24,3.24
Ulsan,Jeonbuk Motors,2.10,3.20,3.50
