Home_Team,Away_Team,Home_win,Draw,Away_win
Pohang Steelers,FC Seoul,2.25,2.90,3.00
Suwon,Seongnam,2.05,2.80,3.60
Gangwon,Jeonbuk Motors,3.25,3.10,2.25
Sangju Sangmu,Suwon Bluewings,2.15,2.85,3.45
Incheon United,Ulsan,3.90,3.05,1.95
Jeju United,Daegu,2.25,3.10,3.00
Ulsan,Pohang Steelers,2.12,3.15,3.20
Seongnam,Incheon United,2.84,2.80,2.70
Suwon,Daegu,2.60,3.00,2.88
Jeonbuk Motors,Sangju Sangmu,2.00,3.54,4.04
FC Seoul,Jeju United,4.00,3.20,2.00
Suwon Bluewings,Gangwon,2.17,2.92,3.83
Gangwon,Suwon,2.40,2.90,2.95
Incheon United,Sangju Sangmu,3.02,3.11,2.67
Suwon Bluewings,Pohang Steelers,3.00,3.05,2.38
Jeju United,Jeonbuk Motors,2.71,2.93,2.53
Daegu,Seongnam,1.92,2.77,4.05
Ulsan,FC Seoul,1.77,3.15,4.05
Jeju United,Suwon,2.10,3.10,3.35
Jeonbuk Motors,Ulsan,2.60,3.00,2.55
Sangju Sangmu,FC Seoul,2.50,3.14,2.94
Incheon United,Pohang Steelers,3.20,3.12,2.40
Gangwon,Daegu,2.85,3.16,2.61
Seongnam,Suwon Bluewings,3.14,2.78,2.69
Daegu,Sangju Sangmu,2.37,3.03,2.83
Jeonbuk Motors,Pohang Steelers,1.81,3.47,3.81
Gangwon,Incheon United,2.06,3.22,3.42
Seongnam,FC Seoul,2.91,3.05,2.39
Suwon Bluewings,Jeju United,2.20,2.70,4.00
Ulsan,Suwon,1.75,3.50,4.60
Daegu,Jeonbuk Motors,3.90,3.40,1.83
Sangju Sangmu,Pohang Steelers,2.88,3.10,2.50
Jeju United,Gangwon,2.04,3.44,3.72
Seongnam,Ulsan,4.35,3.38,1.91
Suwon Bluewings,Suwon,2.03,3.40,3.80
Incheon United,FC Seoul,3.55,3.25,2.16
Ulsan,Sangju Sangmu,1.90,3.30,3.75
Jeju United,Pohang Steelers,2.60,3.10,2.65
Gangwon,Seongnam,2.35,2.95,3.05
Daegu,FC Seoul,1.88,3.46,4.12
Incheon United,Suwon Bluewings,3.19,3.13,2.31
Jeonbuk Motors,Suwon,1.66,3.65,4.25
